,Title,author,rating,num_rating,num_reviews,pages,publish_year,url,series,awards,genre_1,genre_2,genre_3,places
922,The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.17,"625,439 ratings","54,688 reviews",291 pages,Published July 10th 2018 by Dial Press (first published July 29th 2008),,Sophie Kintock,,,,,"Literary Awards
Indies Choice Book Award for Best Indie Buzz Book (Fiction) (2009), LovelyBooks Leserpreis Nominee for Allgemeine Literatur (2009)"
923,"Eat, Pray, Love",Elizabeth Gilbert,3.57,"1,505,688 ratings","54,128 reviews",,Published February 1st 2007 by Riverhead Books (first published February 16th 2006),,Liz Gilbert,,,,,"Literary Awards
Puddly Award for Nonfiction (2008)"
924,The Name of the Wind,Patrick Rothfuss,4.52,"739,187 ratings","42,902 reviews",,Published April 2007 by Penguin Group DAW (first published March 27th 2007),,http://www.nameofthewind.com,,Fantasy,Fiction,Fantasy,"Literary Awards
Locus Award Nominee for Best First Novel and Best Fantasy Novel (2008), Compton Crook Award Nominee (2008), Grand Prix de l'Imaginaire Nominee for Roman étranger and Traduction (2010), ALA Alex Award (2008), The Quill Award for Science Fiction/Fantasy/Horror (2007) ...more"
925,The Thirteenth Tale,Diane Setterfield,3.96,"276,968 ratings","23,209 reviews",,Published September 12th 2006 by Atria Books,,Margaret Lea,,Fiction,Mystery,Historical,"Literary Awards
Dilys Award Nominee (2007), ALA Alex Award (2007), The Quill Award for Debut Author (2007)"
926,Bel Canto,Ann Patchett,3.93,"244,352 ratings","15,369 reviews",,Published August 2nd 2005 by Harper Perennial (first published May 22nd 2001),,Katsumi Hosokawa,All Editions | Add a New Edition | Combine,,,,Other Editions (97)
927,The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18,"185,778 ratings","11,056 reviews",,Published August 25th 2001 by Picador USA (first published September 19th 2000),,Joe Kavalier,,,,,"Literary Awards
Pulitzer Prize for Fiction (2001), PEN/Faulkner Award for Fiction Nominee (2001), Gaylactic Spectrum Award Nominee for Best Novel (2001), California Book Award for Fiction (Gold) (2000), Los Angeles Times Book Prize Nominee for Fiction (2000) ...more"
928,The Devil in the White City,Erik Larson,3.99,"539,175 ratings","33,236 reviews",447 pages,Published February 11th 2003 by Random House Audio Publishing Group (first published 2003),,Daniel Burnham,,,,,"Literary Awards
International Horror Guild Award for Nonfiction (2003), Book Sense Book of the Year Award Nominee (2004), Great Lakes Book Award Nominee for Nonfiction Shortlist (2003), Edgar Award for Best Fact Crime (2004), Washington State Book Award (2004) ...more"
929,The Other Boleyn Girl,Philippa Gregory,4.06,"461,299 ratings","16,851 reviews",661 pages,Published May 21st 2003 by Washington Square Press (first published April 21st 2001),The Plantagenet and Tudor Novels #9,Anne Boleyn,,Historical,Fiction,Historical,"Literary Awards
Romantic Novel of the Year (RoNa's) Award (2002), Goodreads Choice Award Nominee for Fiction (2009)"
930,Me Talk Pretty One Day,David Sedaris,3.99,"627,999 ratings","17,542 reviews",,"Published 2001 by Little, Brown and Company (first published May 2nd 2000)",,David Sedaris,,,,,"Literary Awards
Lambda Literary Award for Humor (2001), Puddly Award for Humor (2001), Thurber Prize for American Humor (2001)"
931,Eragon,Christopher Paolini,3.91,"1,469,983 ratings","22,484 reviews",,Published April 2005 by Alfred A. Knopf (first published June 2002),,The Inheritance Cycle #1,"Book Sense Book of the Year Award for Children's Literature (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2007), South Carolina Book Award for Young Adult Book (2006), Grand Canyon Reader Award for Teen Book (2006), Nene Award (2006) ...more",,,,Alagaësia
